Fly,Strategy,Trades,Win Rate,Avg PnL ticks,Avg PnL EUR,Median PnL ticks,Total PnL ticks,Total PnL EUR,Avg Holding Days,Last Exit
Fly10,bollinger,22,1.0,1.15909090909063,14.488636363632876,1.0000000000019327,25.49999999999386,318.74999999992326,14.227272727272727,2026-06-08
Fly10,percentile,13,1.0,0.9615384615410851,12.019230769263563,1.0000000000019327,12.500000000034106,156.25000000042633,16.923076923076923,2026-04-20
Fly10,zscore,21,1.0,1.1904761904756491,14.880952380945613,1.0000000000019327,24.99999999998863,312.4999999998579,10.619047619047619,2026-05-14
Fly6,bollinger,24,0.9583333333333334,1.750000000000303,21.87500000000379,1.4999999999986358,42.000000000007276,525.000000000091,12.541666666666666,2026-04-01
Fly6,percentile,10,1.0,3.250000000001023,40.62500000001279,2.9999999999972715,32.50000000001023,406.2500000001279,56.6,2026-04-17
Fly6,zscore,19,0.9473684210526315,2.3947368421054787,29.93421052631848,2.000000000001023,45.50000000000409,568.7500000000512,21.42105263157895,2026-03-30
Fly7,bollinger,25,0.84,0.7399999999989859,9.249999999987324,0.9999999999990905,18.499999999974648,231.2499999996831,12.72,2026-05-11
Fly7,percentile,4,1.0,1.2500000000024158,15.625000000030198,1.2500000000031264,5.000000000009663,62.50000000012079,96.5,2026-02-13
Fly7,zscore,17,0.8823529411764706,0.8823529411756681,11.029411764695851,0.9999999999990905,14.999999999986358,187.49999999982947,33.0,2026-05-19
Fly8,bollinger,18,0.8333333333333334,1.000000000000038,12.500000000000474,1.0000000000019327,18.000000000000682,225.00000000000853,13.11111111111111,2026-05-06
Fly8,percentile,11,1.0,1.590909090911778,19.886363636397224,1.0000000000047748,17.50000000002956,218.75000000036948,29.363636363636363,2026-02-20
Fly8,zscore,19,0.8947368421052632,1.1578947368423984,14.473684210529981,1.0000000000019327,22.00000000000557,275.00000000006963,19.736842105263158,2026-05-26
Fly9,bollinger,25,0.92,1.4999999999994316,18.749999999992895,1.0000000000047748,37.49999999998579,468.74999999982236,9.84,2026-04-28
Fly9,percentile,15,1.0,1.9666666666686676,24.583333333358343,1.50000000000432,29.500000000030013,368.75000000037517,25.266666666666666,2026-04-16
Fly9,zscore,17,1.0,1.823529411765388,22.79411764706735,1.500000000001478,31.000000000011596,387.50000000014495,18.294117647058822,2026-04-16
