Fly,Fly1,Fly2,Fly3,Fly4,Fly5,Fly6,Fly7,Fly8,Fly9,Fly10
Fly1,0.0,0.754550506083638,1.2640518883346601e-12,0.00818332228985601,9.935189341107057e-09,8.009981817823234e-09,0.0021828266818927663,0.0057881388257320756,0.8271226813372895,0.33366888480489676
Fly2,0.754550506083638,0.0,0.06379141393157696,1.272903517947989e-16,4.187185494716676e-06,7.968898068147226e-11,0.06896974827483139,0.3473261186522988,0.9461633718062247,0.427074422793942
Fly3,1.2640518883346601e-12,0.06379141393157696,0.0,2.543580181863509e-31,7.449860877437248e-29,1.0212546363724585e-16,0.001888652612718232,0.0012766616672875927,0.4743979196325606,0.008792757060974233
Fly4,0.00818332228985601,1.272903517947989e-16,2.543580181863509e-31,0.0,3.737997904694974e-28,1.3358723559340533e-16,0.7260079513375,0.009382235313357044,0.16142022665162162,0.7302864095601617
Fly5,9.935189341107057e-09,4.187185494716676e-06,7.449860877437248e-29,3.737997904694974e-28,0.0,5.88598783816496e-10,9.041563822589928e-05,0.025898879592311144,0.9980843576449754,0.35675757297317773
Fly6,8.009981817823234e-09,7.968898068147226e-11,1.0212546363724585e-16,1.3358723559340533e-16,5.88598783816496e-10,0.0,0.4957389388331413,0.8320234869411989,0.0008926975745010679,0.6742441882466558
Fly7,0.0021828266818927663,0.06896974827483139,0.001888652612718232,0.7260079513375,9.041563822589928e-05,0.4957389388331413,0.0,6.354376609669554e-06,0.9411984028503265,0.517059561192615
Fly8,0.0057881388257320756,0.3473261186522988,0.0012766616672875927,0.009382235313357044,0.025898879592311144,0.8320234869411989,6.354376609669554e-06,0.0,2.1243196201152547e-13,0.0026613973109111655
Fly9,0.8271226813372895,0.9461633718062247,0.4743979196325606,0.16142022665162162,0.9980843576449754,0.0008926975745010679,0.9411984028503265,2.1243196201152547e-13,0.0,1.559623795849289e-20
Fly10,0.33366888480489676,0.427074422793942,0.008792757060974233,0.7302864095601617,0.35675757297317773,0.6742441882466558,0.517059561192615,0.0026613973109111655,1.559623795849289e-20,0.0
